Tue Jun  7 12:39:06 2022 Epoch 59, lr: 0.0008126, val loss: 39.79081, acc: 86.48000
Tue Jun  7 12:39:18 2022 Epoch 60, lr: 0.0008065, val loss: 38.70202, acc: 86.74000
Tue Jun  7 12:39:30 2022 Epoch 61, lr: 0.0008002, val loss: 38.62460, acc: 86.89000
Tue Jun  7 12:39:41 2022 Epoch 62, lr: 0.0007939, val loss: 38.94716, acc: 86.78000
Tue Jun  7 12:39:52 2022 Epoch 63, lr: 0.0007875, val loss: 39.22539, acc: 86.52000
Tue Jun  7 12:40:04 2022 Epoch 64, lr: 0.0007810, val loss: 38.32770, acc: 86.89000
Tue Jun  7 12:40:15 2022 Epoch 65, lr: 0.0007745, val loss: 38.38242, acc: 86.77000
Tue Jun  7 12:40:27 2022 Epoch 66, lr: 0.0007679, val loss: 37.59600, acc: 87.31000
Tue Jun  7 12:40:38 2022 Epoch 67, lr: 0.0007612, val loss: 37.80415, acc: 87.04000
Tue Jun  7 12:40:49 2022 Epoch 68, lr: 0.0007545, val loss: 37.68569, acc: 86.88000
Tue Jun  7 12:41:00 2022 Epoch 69, lr: 0.0007477, val loss: 37.22530, acc: 87.23000
Tue Jun  7 12:41:11 2022 Epoch 70, lr: 0.0007409, val loss: 37.76625, acc: 87.29000
Tue Jun  7 12:41:23 2022 Epoch 71, lr: 0.0007340, val loss: 36.67988, acc: 87.53000
Tue Jun  7 12:41:36 2022 Epoch 72, lr: 0.0007270, val loss: 36.82136, acc: 87.55000
Tue Jun  7 12:41:47 2022 Epoch 73, lr: 0.0007200, val loss: 36.33384, acc: 87.54000
Tue Jun  7 12:41:59 2022 Epoch 74, lr: 0.0007129, val loss: 36.02049, acc: 87.93000
Tue Jun  7 12:42:10 2022 Epoch 75, lr: 0.0007058, val loss: 36.18227, acc: 87.85000
Tue Jun  7 12:42:21 2022 Epoch 76, lr: 0.0006986, val loss: 35.95306, acc: 87.51000
Tue Jun  7 12:42:33 2022 Epoch 77, lr: 0.0006913, val loss: 35.58287, acc: 87.99000
Tue Jun  7 12:42:44 2022 Epoch 78, lr: 0.0006841, val loss: 36.43008, acc: 87.96000
Tue Jun  7 12:42:56 2022 Epoch 79, lr: 0.0006767, val loss: 36.22060, acc: 88.15000
Tue Jun  7 12:43:07 2022 Epoch 80, lr: 0.0006694, val loss: 35.88051, acc: 87.60000
Tue Jun  7 12:43:18 2022 Epoch 81, lr: 0.0006620, val loss: 35.86932, acc: 87.84000
Tue Jun  7 12:43:29 2022 Epoch 82, lr: 0.0006545, val loss: 35.78903, acc: 87.99000
Tue Jun  7 12:43:42 2022 Epoch 83, lr: 0.0006470, val loss: 35.27965, acc: 88.21000
Tue Jun  7 12:43:53 2022 Epoch 84, lr: 0.0006395, val loss: 35.71529, acc: 88.00000
Tue Jun  7 12:44:04 2022 Epoch 85, lr: 0.0006319, val loss: 34.32241, acc: 88.21000
Tue Jun  7 12:44:16 2022 Epoch 86, lr: 0.0006243, val loss: 34.81287, acc: 88.38000
Tue Jun  7 12:44:27 2022 Epoch 87, lr: 0.0006167, val loss: 35.61935, acc: 88.05000
Tue Jun  7 12:44:38 2022 Epoch 88, lr: 0.0006091, val loss: 35.03512, acc: 88.19000
Tue Jun  7 12:44:49 2022 Epoch 89, lr: 0.0006014, val loss: 34.78114, acc: 88.10000
Tue Jun  7 12:45:00 2022 Epoch 90, lr: 0.0005937, val loss: 34.32570, acc: 88.35000
Tue Jun  7 12:45:11 2022 Epoch 91, lr: 0.0005860, val loss: 35.91149, acc: 88.03000
Tue Jun  7 12:45:22 2022 Epoch 92, lr: 0.0005782, val loss: 35.97238, acc: 87.98000
Tue Jun  7 12:45:33 2022 Epoch 93, lr: 0.0005705, val loss: 36.24584, acc: 87.88000
Tue Jun  7 12:45:45 2022 Epoch 94, lr: 0.0005627, val loss: 34.36452, acc: 88.65000
Tue Jun  7 12:45:56 2022 Epoch 95, lr: 0.0005549, val loss: 34.06545, acc: 88.60000
Tue Jun  7 12:46:07 2022 Epoch 96, lr: 0.0005471, val loss: 34.34729, acc: 88.42000
Tue Jun  7 12:46:19 2022 Epoch 97, lr: 0.0005392, val loss: 34.98160, acc: 88.46000
Tue Jun  7 12:46:31 2022 Epoch 98, lr: 0.0005314, val loss: 33.89980, acc: 88.69000
Tue Jun  7 12:46:42 2022 Epoch 99, lr: 0.0005236, val loss: 34.11240, acc: 88.65000
Tue Jun  7 12:46:53 2022 Epoch 100, lr: 0.0005157, val loss: 34.99779, acc: 88.50000
Tue Jun  7 12:47:05 2022 Epoch 101, lr: 0.0005079, val loss: 33.77105, acc: 88.78000
Tue Jun  7 12:47:16 2022 Epoch 102, lr: 0.0005000, val loss: 35.54808, acc: 88.26000
Tue Jun  7 12:47:27 2022 Epoch 103, lr: 0.0004921, val loss: 35.19842, acc: 88.54000
Tue Jun  7 12:47:38 2022 Epoch 104, lr: 0.0004843, val loss: 34.19547, acc: 88.55000
Tue Jun  7 12:47:50 2022 Epoch 105, lr: 0.0004764, val loss: 33.83826, acc: 88.82000
Tue Jun  7 12:48:02 2022 Epoch 106, lr: 0.0004686, val loss: 33.53155, acc: 88.96000
Tue Jun  7 12:48:14 2022 Epoch 107, lr: 0.0004608, val loss: 33.96158, acc: 88.97000
Tue Jun  7 12:48:25 2022 Epoch 108, lr: 0.0004529, val loss: 34.55747, acc: 88.88000
Tue Jun  7 12:48:36 2022 Epoch 109, lr: 0.0004451, val loss: 33.64163, acc: 88.91000
Tue Jun  7 12:48:47 2022 Epoch 110, lr: 0.0004373, val loss: 33.74479, acc: 88.90000
Tue Jun  7 12:49:00 2022 Epoch 111, lr: 0.0004295, val loss: 32.92897, acc: 89.08000
Tue Jun  7 12:49:11 2022 Epoch 112, lr: 0.0004218, val loss: 33.37456, acc: 89.05000
Tue Jun  7 12:49:23 2022 Epoch 113, lr: 0.0004140, val loss: 33.66829, acc: 88.92000
Tue Jun  7 12:49:34 2022 Epoch 114, lr: 0.0004063, val loss: 33.82590, acc: 88.90000
Tue Jun  7 12:49:45 2022 Epoch 115, lr: 0.0003986, val loss: 33.82616, acc: 89.05000
Tue Jun  7 12:49:56 2022 Epoch 116, lr: 0.0003909, val loss: 33.67850, acc: 89.08000
Tue Jun  7 12:50:07 2022 Epoch 117, lr: 0.0003833, val loss: 33.35476, acc: 89.08000
Tue Jun  7 12:50:19 2022 Epoch 118, lr: 0.0003757, val loss: 34.01294, acc: 89.23000
Tue Jun  7 12:50:30 2022 Epoch 119, lr: 0.0003681, val loss: 33.58643, acc: 89.22000
Tue Jun  7 12:50:41 2022 Epoch 120, lr: 0.0003605, val loss: 34.02535, acc: 89.02000
Tue Jun  7 12:50:52 2022 Epoch 121, lr: 0.0003530, val loss: 33.68660, acc: 88.98000
Tue Jun  7 12:51:03 2022 Epoch 122, lr: 0.0003455, val loss: 33.56359, acc: 89.01000
